DATE, VALUE
1932-08-01,72.9515
1932-09-01,73.3346
1932-10-01,73.8947
1932-11-01,74.2484
1932-12-01,75.0147
1933-01-01,76.1839
1933-02-01,77.3924
1933-03-01,78.0114
1933-04-01,78.2177
1933-05-01,78.0114
1933-06-01,77.1861
1933-07-01,75.0147
1933-08-01,74.2484
1933-09-01,74.2484
1933-10-01,74.2484
1933-11-01,74.2484
1933-12-01,74.6316
1934-01-01,74.2484
1934-02-01,73.6883
1934-03-01,73.6883
1934-04-01,73.8947
1934-05-01,73.6883
1934-06-01,73.5115
1934-07-01,73.5115
1934-08-01,73.3346
1934-09-01,72.2441
1934-10-01,72.7746
1934-11-01,72.9515
1934-12-01,73.1578
1935-01-01,72.0672
1935-02-01,71.5366
1935-03-01,71.7135
1935-04-01,71.0159
1935-05-01,71.3598
1935-06-01,71.5366
1935-07-01,71.8904
1935-08-01,71.8904
1935-09-01,71.5366
1935-10-01,71.5366
1935-11-01,71.1829
1935-12-01,71.0159
1936-01-01,71.0159
1936-02-01,71.3598
1936-03-01,71.7135
1936-04-01,71.7135
1936-05-01,71.7135
1936-06-01,71.0159
1936-07-01,70.6917
1936-08-01,70.1906
1936-09-01,70.0138
1936-10-01,70.1906
1936-11-01,70.1906
1936-12-01,70.1906
1937-01-01,69.6895
1937-02-01,69.5127
1937-03-01,69.0116
1937-04-01,68.6874
1937-05-01,68.3926
1937-06-01,68.2158
1937-07-01,67.8915
1937-08-01,67.7442
1937-09-01,67.1252
1937-10-01,67.4494
1937-11-01,67.8915
1937-12-01,68.0684
1938-01-01,69.0116
1938-02-01,69.6895
1938-03-01,69.6895
1938-04-01,69.3358
1938-05-01,69.6895
1938-06-01,69.6895
1938-07-01,69.5127
1938-08-01,69.6895
1938-09-01,69.6895
1938-10-01,70.0138
1938-11-01,70.1906
1938-12-01,70.0138
1939-01-01,70.338
1939-02-01,70.6917
1939-03-01,70.8685
1939-04-01,71.0159
1939-05-01,71.0159
1939-06-01,71.0159
1939-07-01,71.0159
1939-08-01,71.0159
1939-09-01,69.6895
1939-10-01,70.0138
1939-11-01,70.0138
1939-12-01,70.338
1940-01-01,70.5148
1940-02-01,70.0138
1940-03-01,70.1906
1940-04-01,70.1906
1940-05-01,70.0138
1940-06-01,69.8369
1940-07-01,70.0138
1940-08-01,70.1906
1940-09-01,70.0138
1940-10-01,70.0138
1940-11-01,70.0138
1940-12-01,69.6895
1941-01-01,69.6895
1941-02-01,69.6895
1941-03-01,69.3358
1941-04-01,68.6874
1941-05-01,68.2158
1941-06-01,66.9876
1941-07-01,66.6929
1941-08-01,66.0739
1941-09-01,64.9243
1941-10-01,64.1875
1941-11-01,63.6569
1941-12-01,63.5095
1942-01-01,62.694
1942-02-01,62.1635
1942-03-01,61.3971
1942-04-01,61.014
1942-05-01,60.3655
1942-06-01,60.2476
1942-07-01,60.0118
1942-08-01,59.6286
1942-09-01,59.5107
1942-10-01,58.931
1942-11-01,58.5773
1942-12-01,58.1057
1943-01-01,58.1057
1943-02-01,57.9878
1943-03-01,57.1036
1943-04-01,56.4256
1943-05-01,56.013
1943-06-01,56.1014
1943-07-01,56.5435
1943-08-01,56.7793
1943-09-01,56.5435
1943-10-01,56.3372
1943-11-01,56.4256
1943-12-01,56.3372
1944-01-01,56.4256
1944-02-01,56.5435
1944-03-01,56.5435
1944-04-01,56.2193
1944-05-01,56.013
1944-06-01,55.8951
1944-07-01,55.5708
1944-08-01,55.3645
1944-09-01,55.3645
1944-10-01,55.3645
1944-11-01,55.3645
1944-12-01,55.1582
1945-01-01,55.1582
1945-02-01,55.2761
1945-03-01,55.2761
1945-04-01,55.1582
1945-05-01,54.7554
1945-06-01,54.2543
1945-07-01,54.1658
1945-08-01,54.1658
1945-09-01,54.3427
1945-10-01,54.3427
1945-11-01,54.1658
1945-12-01,53.9595
1946-01-01,53.9595
1946-02-01,54.1658
1946-03-01,53.7532
1946-04-01,53.4584
1946-05-01,53.1637
1946-06-01,52.6037
1946-07-01,49.6659
1946-08-01,48.6048
1946-09-01,48.0448
1946-10-01,47.1311
1946-11-01,46.0208
1946-12-01,45.6671
1947-01-01,45.6671
1947-02-01,45.7261
1947-03-01,44.7534
1947-04-01,44.7534
1947-05-01,44.9008
1947-06-01,44.5471
1947-07-01,44.1639
1947-08-01,43.6923
1947-09-01,42.6705
1947-10-01,42.6705
1947-11-01,42.4347
1947-12-01,41.9041
1948-01-01,41.403
1948-02-01,41.7567
1948-03-01,41.9041
1948-04-01,41.2851
1948-05-01,41.0198
1948-06-01,40.7251
1948-07-01,40.224
1948-08-01,40.0472
1948-09-01,40.0472
1948-10-01,40.224
1948-11-01,40.4893
1948-12-01,40.784
1949-01-01,40.843
1949-02-01,41.2851
1949-03-01,41.1967
1949-04-01,41.1377
1949-05-01,41.1967
1949-06-01,41.1377
1949-07-01,41.403
1949-08-01,41.2851
1949-09-01,41.1377
1949-10-01,41.3441
1949-11-01,41.2851
1949-12-01,41.5209
1950-01-01,41.6978
1950-02-01,41.8157
1950-03-01,41.6388
1950-04-01,41.5799
1950-05-01,41.403
1950-06-01,41.1967
1950-07-01,40.784
1950-08-01,40.4598
1950-09-01,40.1651
1950-10-01,39.9587
1950-11-01,39.7819
1950-12-01,39.2513
1951-01-01,38.6323
1951-02-01,38.2
1951-03-01,38.0527
1951-04-01,37.9937
1951-05-01,37.8463
1951-06-01,37.9053
1951-07-01,37.8463
1951-08-01,37.8463
1951-09-01,37.6105
1951-10-01,37.4042
1951-11-01,37.2274
1951-12-01,37.08
1952-01-01,37.08
1952-02-01,37.3158
1952-03-01,37.3158
1952-04-01,37.1684
1952-05-01,37.1389
1952-06-01,37.021
1952-07-01,36.7557
1952-08-01,36.6968
1952-09-01,36.7557
1952-10-01,36.6968
1952-11-01,36.6968
1952-12-01,36.7557
1953-01-01,36.8442
1953-02-01,37.021
1953-03-01,36.9326
1953-04-01,36.9031
1953-05-01,36.8147
1953-06-01,36.6673
1953-07-01,36.5789
1953-08-01,36.4905
1953-09-01,36.4315
1953-10-01,36.3431
1953-11-01,36.4905
1953-12-01,36.5199
1954-01-01,36.4315
1954-02-01,36.4905
1954-03-01,36.5199
1954-04-01,36.6084
1954-05-01,36.4905
1954-06-01,36.4315
1954-07-01,36.4315
1954-08-01,36.4905
1954-09-01,36.5789
1954-10-01,36.6673
1954-11-01,36.6084
1954-12-01,36.6968
1955-01-01,36.6968
1955-02-01,36.6968
1955-03-01,36.6968
1955-04-01,36.6968
1955-05-01,36.6968
1955-06-01,36.6968
1955-07-01,36.5789
1955-08-01,36.6673
1955-09-01,36.5199
1955-10-01,36.5199
1955-11-01,36.4905
1955-12-01,36.5789
1956-01-01,36.6084
1956-02-01,36.6084
1956-03-01,36.5789
1956-04-01,36.5199
1956-05-01,36.3431
1956-06-01,36.1368
1956-07-01,35.8715
1956-08-01,35.901
1956-09-01,35.8715
1956-10-01,35.6357
1956-11-01,35.6357
1956-12-01,35.5473
1957-01-01,35.5178
1957-02-01,35.3704
1957-03-01,35.282
1957-04-01,35.1641
1957-05-01,35.0757
1957-06-01,34.8693
1957-07-01,34.7219
1957-08-01,34.663
1957-09-01,34.6335
1957-10-01,34.6335
1957-11-01,34.5254
1957-12-01,34.5254
1958-01-01,34.3191
1958-02-01,34.2896
1958-03-01,34.0244
1958-04-01,33.9654
1958-05-01,33.9654
1958-06-01,33.9065
1958-07-01,33.877
1958-08-01,33.9065
1958-09-01,33.9065
1958-10-01,33.9065
1958-11-01,33.877
1958-12-01,33.9065
1959-01-01,33.877
1959-02-01,33.9065
1959-03-01,33.9065
1959-04-01,33.877
1959-05-01,33.8475
1959-06-01,33.6707
1959-07-01,33.6117
1959-08-01,33.6412
1959-09-01,33.5233
1959-10-01,33.4054
1959-11-01,33.4054
1959-12-01,33.4054
1960-01-01,33.4643
1960-02-01,33.4054
1960-03-01,33.4054
1960-04-01,33.2285
1960-05-01,33.2285
1960-06-01,33.1401
1960-07-01,33.1401
1960-08-01,33.1401
1960-09-01,33.1106
1960-10-01,32.9633
1960-11-01,32.9338
1960-12-01,32.9338
1961-01-01,32.9338
1961-02-01,32.9338
1961-03-01,32.9338
1961-04-01,32.9338
1961-05-01,32.9338
1961-06-01,32.9043
1961-07-01,32.7569
1961-08-01,32.7864
1961-09-01,32.698
1961-10-01,32.698
1961-11-01,32.698
1961-12-01,32.698
1962-01-01,32.698
1962-02-01,32.639
1962-03-01,32.5506
1962-04-01,32.4916
1962-05-01,32.4916
1962-06-01,32.4916
1962-07-01,32.4327
1962-08-01,32.4327
1962-09-01,32.2264
1962-10-01,32.2853
1962-11-01,32.2853
1962-12-01,32.3148
1963-01-01,32.2853
1963-02-01,32.2264
1963-03-01,32.1969
1963-04-01,32.1969
1963-05-01,32.1969
1963-06-01,32.079
1963-07-01,31.9316
1963-08-01,31.9316
1963-09-01,31.9316
1963-10-01,31.9021
1963-11-01,31.8432
1963-12-01,31.7842
1964-01-01,31.7548
1964-02-01,31.7842
1964-03-01,31.7548
1964-04-01,31.7253
1964-05-01,31.7253
1964-06-01,31.6369
1964-07-01,31.5779
1964-08-01,31.6074
1964-09-01,31.5484
1964-10-01,31.519
1964-11-01,31.46
1964-12-01,31.4011
1965-01-01,31.4011
1965-02-01,31.4011
1965-03-01,31.3716
1965-04-01,31.2832
1965-05-01,31.2242
1965-06-01,31.0474
1965-07-01,31.0179
1965-08-01,31.0768
1965-09-01,31.0179
1965-10-01,30.9884
1965-11-01,30.9295
1965-12-01,30.8116
1966-01-01,30.8116
1966-02-01,30.6347
1966-03-01,30.5168
1966-04-01,30.4087
1966-05-01,30.3792
1966-06-01,30.2908
1966-07-01,30.2024
1966-08-01,30.0255
1966-09-01,29.9666
1966-10-01,29.8487
1966-11-01,29.8487
1966-12-01,29.8192
1967-01-01,29.8192
1967-02-01,29.7897
1967-03-01,29.7308
1967-04-01,29.6718
1967-05-01,29.5834
1967-06-01,29.495
1967-07-01,29.3476
1967-08-01,29.2592
1967-09-01,29.2002
1967-10-01,29.1118
1967-11-01,29.0234
1967-12-01,28.935
1968-01-01,28.8171
1968-02-01,28.7581
1968-03-01,28.6107
1968-04-01,28.5223
1968-05-01,28.4339
1968-06-01,28.2865
1968-07-01,28.1391
1968-08-01,28.0507
1968-09-01,27.9623
1968-10-01,27.8149
1968-11-01,27.7265
1968-12-01,27.638
1969-01-01,27.5496
1969-02-01,27.4612
1969-03-01,27.2254
1969-04-01,27.0485
1969-05-01,26.9601
1969-06-01,26.8127
1969-07-01,26.6654
1969-08-01,26.5475
1969-09-01,26.4296
1969-10-01,26.351
1969-11-01,26.2036
1969-12-01,26.0562
1970-01-01,25.9678
1970-02-01,25.8204
1970-03-01,25.673
1970-04-01,25.5256
1970-05-01,25.4077
1970-06-01,25.2898
1970-07-01,25.2014
1970-08-01,25.1425
1970-09-01,25.0246
1970-10-01,24.9067
1970-11-01,24.8182
1970-12-01,24.7003
1971-01-01,24.6709
1971-02-01,24.6414
1971-03-01,24.553
1971-04-01,24.4645
1971-05-01,24.3466
1971-06-01,24.1993
1971-07-01,24.1403
1971-08-01,24.0814
1971-09-01,24.0519
1971-10-01,24.0224
1971-11-01,23.9929
1971-12-01,23.875
1972-01-01,23.875
1972-02-01,23.7571
1972-03-01,23.6982
1972-04-01,23.6687
1972-05-01,23.5803
1972-06-01,23.5213
1972-07-01,23.4329
1972-08-01,23.4034
1972-09-01,23.2855
1972-10-01,23.2266
1972-11-01,23.1676
1972-12-01,23.1087
1973-01-01,23.0202
1973-02-01,22.8729
1973-03-01,22.6371
1973-04-01,22.4897
1973-05-01,22.3521
1973-06-01,22.2048
1973-07-01,22.1753
1973-08-01,21.7626
1973-09-01,21.7037
1973-10-01,21.5268
1973-11-01,21.3794
1973-12-01,21.2321
1974-01-01,21.0552
1974-02-01,20.7899
1974-03-01,20.5541
1974-04-01,20.4362
1974-05-01,20.2004
1974-06-01,20.0236
1974-07-01,19.8762
1974-08-01,19.6109
1974-09-01,19.3751
1974-10-01,19.2277
1974-11-01,19.0509
1974-12-01,18.933
